District,Agency,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date,,
Hojai,LOCAL BOATS,3,0,0,0,0,1,15-05-2022,,
Cachar,SDRF,0,0,0,0,0,5,15-05-2022,,
Karbi Anglong West,SDRF,1,15,10,0,0,1,15-05-2022,,
Cachar,"NDRF, SDRF",7,70,0,0,0,5,16-05-2022,,
Dima-Hasao,Fire & Emergency Services (F&ES),0,0,0,0,0,0,16-05-2022,,
Hojai,"Local People, SDRF, Country Boats",23,786,23,0,0,3,16-05-2022,,
Udalguri,Fire & Emergency Services (F&ES),1,1,0,0,0,0,16-05-2022,,
Biswanath,"NDRF, SDRF",5,191,0,0,0,0,17-05-2022,,
Cachar,"SDRF, Army/Paramilitary force",7,106,0,0,0,14,17-05-2022,,
Darrang,SDRF,1,2,0,0,0,2,17-05-2022,,
Dima-Hasao,Fire & Emergency Services (F&ES),0,0,0,0,0,0,17-05-2022,,
Kamrup,,0,0,0,0,0,1,17-05-2022,,
Karimganj,SDRF,2,50,0,0,0,0,17-05-2022,,
Nagaon,SDRF,5,250,25,0,0,0,17-05-2022,,
Hojai,"SDRF, Circle Office/Local Administration, Local People, Country Boats",71,2828,52,0,0,2,17-05-2022,,
Cachar,"Circle Office/Local Administration, Civil Defence/Trained Volunteers, Local People, Police, Water Resources Department, Fire & Emergency Services (F&ES), Army/Paramilitary force, NDRF, SDRF",14,1252,0,0,0,26,18-05-2022,,
Darrang,SDRF,2,42,0,0,0,3,18-05-2022,,
Karimganj,"Civil Defence/Trained Volunteers, SDRF",1,16,0,0,0,0,18-05-2022,,
Dima-Hasao,Army/Paramilitary force,0,0,0,2,12,0,18-05-2022,,
Hailakandi,SDRF,1,5,0,0,0,2,18-05-2022,,
Hojai,"SDRF, Local Country Boat 1 no, Circle Office/Local Administration, Local People, NDRF, Army boat, Army/Paramilitary force, Country Boats",95,5539,120,0,0,5,18-05-2022,,
Kamrup,,0,0,0,0,0,1,18-05-2022,,
Nagaon,"Fire & Emergency Services (F&ES), SDRF",6,1200,260,0,0,4,18-05-2022,,
Cachar,"Circle Office/Local Administration, Civil Defence/Trained Volunteers, NDRF, Police, SDRF, Water Resources Department, Army/Paramilitary force, Fire & Emergency Services (F&ES), Local People, Inland Water Transport",20,2140,0,0,0,37,19-05-2022,,
Kamrup,,0,0,0,0,0,1,19-05-2022,,
Hojai,"Army/Paramilitary force, NDRF, SDRF, Country Boats, Circle Office/Local Administration, Local People, Army boat",94,3062,126,0,0,8,19-05-2022,,
Dima-Hasao,Army/Paramilitary force,0,0,0,2,105,0,19-05-2022,,
Darrang,SDRF,1,27,0,0,0,8,19-05-2022,,
Nagaon,"SDRF, Circle Office/Local Administration",15,2000,0,0,0,4,19-05-2022,,
Cachar,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), Local People, NDRF, Police, Civil Defence/Trained Volunteers, SDRF, Water Resources Department",5,840,0,0,0,14,20-05-2022,,
Morigaon,,4,100,110,0,0,0,20-05-2022,,
Dima-Hasao,,0,0,0,1,145,1,20-05-2022,,
Hojai,"Circle Office/Local Administration, Local People, NDRF, SDRF, Army boat, Army/Paramilitary force, Country Boats",70,1075,88,0,0,10,20-05-2022,,
Nagaon,"Fire & Emergency Services (F&ES), NDRF, SDRF, Army/Paramilitary force",11,680,30,0,0,6,20-05-2022,,
Darrang,SDRF,2,25,0,0,0,6,20-05-2022,,
Morigaon,Fire & Emergency Services (F&ES),2,15,0,0,0,0,21-05-2022,,
Cachar,"Army/Paramilitary force, Circle Office/Local Administration, Fire & Emergency Services (F&ES), Local People, SDRF, Civil Defence/Trained Volunteers, NDRF, Police",5,334,0,0,0,16,21-05-2022,,
Nagaon,"Fire & Emergency Services (F&ES), NDRF, SDRF, Army/Paramilitary force",13,737,0,0,0,9,21-05-2022,,
Darrang,,0,0,0,0,0,4,21-05-2022,,
Lakhimpur,,0,0,0,0,0,4,21-05-2022,,
Hojai,"Circle Office/Local Administration, Local People, NDRF, SDRF, Army boat, Fire & Emergency Services (F&ES), Country Boats",55,401,52,0,0,9,21-05-2022,,
Nagaon,"Fire & Emergency Services (F&ES), NDRF, SDRF, Army/Paramilitary force",12,201,3,0,0,13,22-05-2022,,
Morigaon,Fire & Emergency Services (F&ES),1,52,0,0,0,0,22-05-2022,,
Hojai,"Circle Office/Local Administration, Local People, NDRF, SDRF, Army boats",0,0,0,0,0,4,22-05-2022,,
Darrang,,0,0,0,0,0,3,22-05-2022,,
Cachar,"Circle Office/Local Administration, Local People",0,0,0,0,0,22,22-05-2022,,
Nagaon,SDRF,7,0,0,0,0,18,23-05-2022,,
Karimganj,"Civil Defence/Trained Volunteers, SDRF",1,25,0,0,0,0,23-05-2022,,
Nalbari,Circle Office/Local Administration,12,85,48,0,0,0,23-05-2022,,
Cachar,,0,0,0,0,0,19,23-05-2022,,
Darrang,,0,0,0,0,0,2,23-05-2022,,
Lakhimpur,,0,0,0,0,0,1,23-05-2022,,
Nalbari,Circle Office/Local Administration,11,0,94,0,0,0,24-05-2022,,
Morigaon,,0,0,0,0,0,4,24-05-2022,,
Lakhimpur,,0,0,0,0,0,1,24-05-2022,,
Nagaon,SDRF,2,0,0,0,0,17,24-05-2022,,
Cachar,,0,0,0,0,0,9,24-05-2022,,
Cachar,,0,0,0,0,0,17,25-05-2022,,
Dima-Hasao,"Civil Defence/Trained Volunteers, Police",0,0,0,1,0,14,25-05-2022,,
Morigaon,,0,0,0,0,0,3,25-05-2022,,
Nagaon,SDRF,2,0,0,0 0 15,,,25-05-2022,,
Cachar,,0,0,0,0,0,16,26-05-2022,,
Dima-Hasao,Civil Defence/Trained Volunteers,0,0,0,0,0,15,26-05-2022,,
