District,Details,Date,NumberofDamages_RevenueCircle_level (computed),,,,
Goalpara,Lakhipur - Morichbari Grazing Reserve(Dhumerghat) | River-GhaguaReach length 90 meter and the width of erosion 2 meter (From 14.05.2022 to 15.05.2022) | 0,15-05-2022,{'Lakhipur ': 1},,,,
Goalpara,Matia - Baladmari Char Pt-IV | Left bank erosion of river Jaljali at Baladmari Char Pt-IV. Total length affected = 200 meters (approx.) as on 19/05/2022 | 0,19-05-2022,{'Matia ': 1},,,,
Goalpara,Balijana - Birshing Holonga Char Part 1 | Date of Occurrence - 28.09.2022. Reach length 3Km and erosion depth 470m. Information received from WR Department on 30.09.2022 | 0,30-09-2022,{'Balijana ': 1},,,,
Goalpara,"Matia - Kaliasastra | Right Bank erosion of Krishnai River at revenue village Kaliasastra. Total reach length = 15 meters (as on 08/06/2022) as reported by Water Resources Department, Goalpara. | 0",08-06-2022,{'Matia ': 1},,,,
Goalpara,"Matia - Mujkuri | Bank erosion of Dudhnoi river near Nandeswar area, total reach length = 300m, average depth of erosion = 1.50m (as on 06/08/2022) as reported by Water Resources Department, Goalpara. | 0",06-08-2022,{'Matia ': 1},,,,
Goalpara,"Matia - Baladmari Char Pt-IV | Left bank erosion of river Jaljali at Baladmari Char Pt-IV. Total Reach length = 300 m (approx.)and Average Width = 3 m as on 21/05/2022 as received from Water Resourses Department, Goalpara | 0",21-05-2022,{'Matia ': 1},,,,
Goalpara,"Matia - Baladmari Char Pt-IV | Left Bank erosion of river Jaljali at Baladmari Char Pt-IV. Total reach length = 300m (approx.) and Average Width = 3 m as on 22/05/2022 as received from Water Resources Department, Goalpara. | 0",22-05-2022,{'Matia ': 1},,,,
Goalpara,"Matia - Baladmari Char Pt-IV | Left Bank erosion of river Jaljali at Baladmari Char Pt-IV. Total reach length = 150 m (approx.) and Average width = 1.5 m as on 23/05/2022 as received from Water Resources Department, Goalpara. | 0",23-05-2022,{'Matia ': 1},,,,
Goalpara,Lakhipur - Chouldhowa | Date-13-10-2022 some parts of the village chouldhowa affected due to erosion of river Ajagar for incessant rain from last 3 days.The reach length 150 meter and the width of erosion 3 meter from 10.10.2022 to till date i.e 13.10.2022 | 0,13-10-2022,{'Lakhipur ': 1},,,,
Goalpara,Lakhipur - Rakhalkilla | Date-15.06.2022 River-Ghagua As per report of Irrigation & WR department bank erosion occured at the Revenue Village Rakhalkilla.The reach length 300 meter and the width of erosion 2 meter. From 14.06.2022 to till date i.e 15.6.2022 | 0,15-06-2022,{'Lakhipur ': 1},,,,
Goalpara,"Balijana - Kalpani (Bolbola) marginal Bund L/B of Jinari River | Bank erosion of river Jinari at Bolbola Kalpani area observed Erosion reach length- 10 m Width- 1 m Date of occurrence- 16.06.2022 Information received from Water Resource Department, Goalpara. | 1523",16-06-2022,{'Balijana ': 1},,,,
