District,Details,Date,Number of Damages (computed),NumberofDamages_RevenueCircle_level (computed),,,,,
Goalpara,"Dudhnoi - Irrigation Canal/Scheme Damaged | On 16th May 2022, 25 m length earthwork of main canal of Dandalama FIS damaged till now as on (17-05-2022)",17-05-2022,0,{'Dudhnoi ': 2},,,,,
Goalpara,"Matia - Irrigation Canal/Scheme Damaged | Islampur Point under Matia LIS, length of bricklined canal damaged = 32 m (as on 22/06/2022) as reported by Irrigation Department, Dudhnoi Goalpara East Division",24-06-2022,0,{'Matia ': 1},,,,,
Goalpara,"Rongjuli - Fisheries/Pond | AS PER REPORT RECEIVED FROM FISHERIES DEVELOPMENT OFFICER, RANGJULI TD BLOCK 11 NOS. (APPRX) POND HAS BEEN SUBMERGED. IMFORMATION RECEIVED DATE: 22/06/2022 TIME : 01:29 PM IST",22-06-2022,0,{},,,,,
Goalpara,"Matia - Irrigation Canal/Scheme Damaged | Kaliasastra Canal under Matia LIS, total damaged length = 10 meters (on 14/06/2022) as information received from Irrigation Department, Dudhnoi Goalpara East Division.",14-06-2022,0,{'Matia ': 1},,,,,
Goalpara,"Dudhnoi - Irrigation Canal/Scheme Damaged | Left Bank Main Canal bed of Kornoi FIS eroded at Melopara Pt-I under Kochdhowa Dev.. Block. The length is 1.2 Metre, widtth 1.2 metre and Depth is 1.2 Metre as on dated 25/05/2022, Report received from Dudhnoi-Goalpara East Division Irrigation, Dudhnoi",26-05-2022,0,{'Dudhnoi ': 1},,,,,
Goalpara,"Rongjuli - Irrigation Canal/Scheme Damaged | AS PER OFFICIAL LETTER RECEIVED FROM EXECUTIVE ENGINEER, DUDHNOI GOALPARA EAST DIVISION, IRRIGATION DUDHNOI RANGRANGA FIS 15M BRICKLINED CANAL DAMAGED ON 14/06/2022 . INFORMATION RECEIVED DATE: 15/06/2022 AFTER 12:00 PM LATITUDE 25.965876 LONGITUDE: 90.881963",16-06-2022,0,{},,,,,
Goalpara,"Matia - Fisheries/Pond | No. of fisheries/pond affected = 16 and water area affected by flood = 2.00 Ha as reported by Fishery Development Officer, Matia Block on 23/06/2022, Balijana - Fisheries/Pond | As reported by Fishery Development Officer, Kharmuza Block approximately 1654 nos. of farmer having water area of 354 Ha pond/ tank/community tank have been affected due to flood. Information received on 22.06.2022",23-06-2022,0,"{'Matia ': 1, 'Balijana ': 1}",,,,,
Goalpara,"Balijana - Power Dept. Poles | 4 nos. of LT Poles damaged in village Sabaji Baguan (Baruapara).Date of occurrence 06.06.2022. and Final report received from APDCL Department, Lakhipur Electrical Sub Division on 10.06.2022., Power Dept. Conductors | LT Conductor of 0.3 Km damaged in village Sabaji Baguan (Baruapara). Date of occurrence 06.06.2022 and Final report received from APDCL Department, Lakhipur Electrical Sub Division on 10.06.2022.",11-06-2022,0,{'Balijana ': 4},,,,,
Goalpara,"Balijana - Irrigation Canal/Scheme Damaged | Brick canal of Saplangkata FIS (Point no. 2) under Goalpara Irrigation Dept. Date of occurrence 18.06.2022. Information received from Goalpara Irrigation Department. GPS: LAT-26.036264 & LONG- 90.498689, Lakhipur - Washed away SPT Bridge | As per report of PWD Roads department, The approach of SPT Bridge No. 2/1 on Lakhipur Tulsibari Road Near Takimari Bazar washed away and communication suspended on 18.06.2022 .Temporary Restoration works in progress. Latitude 26.047121 and Longitude 90.300862",19-06-2022,0,"{'Balijana ': 1, 'Lakhipur ': 1}",,,,,
Goalpara,"Lakhipur - Road Breaches | As per report of PWRD, Goalpara west& Jaleswar T.R. Division, The approach Rangsai Barmanpara Bapurvita road has been breached and affected length 0.08 km due to flood water on dated 06/06/2022 and the report submitted today i.e. 25/07/2022, Bridge Approach Road Washed Away | As per report of PWRD, Goalpara west& Jaleswar T.R. Division, The approach Lakhipur Tulsibari road has been bridge approach washed away and affected length 0.02 km due to flood water on dated 17/06/2022 and the report submitted today i.e. 25/07/2022",25-07-2022,0,{'Lakhipur ': 4},,,,,
Goalpara,"Rongjuli - Irrigation Canal/Scheme Damaged | M n R works to Bhalukjuli FIS 2022-23 affected under Water (as on from 14/05/2022 to 15/05/2022) ,under Dudhnoi Goalpara East Division Irrigation. LATITUDE: 26.0167 LONGITUDE: 90.945169, Matia - Irrigation Canal/Scheme Damaged | Dohela Point Matia LIS, GPS coordinates - 26.048379, 90.786512, damaged = 40 m (approx.) (From 14/05/2022 to 15/05/2022), Irrigation Canal/Scheme Damaged | Kaliasastra Point Matia LIS, GPS coordinates - 26.061097, 90.705516, Damaged = 42 m (approx.) (From 14/05/2022 to 15/05/2022)",15-05-2022,0,{'Matia ': 4},,,,,
Goalpara,"Dudhnoi - Irrigation Canal/Scheme Damaged | Extra 8.00m length, 5.50m width including slope and 1.50m depth of earthwork broken at Dandalama FIS, Khalikapara, Damra dated 13.06.2022- Information received from Dudhnoi-Goalpara East Division (Irrigation), Dudhnoi, Rongjuli - Irrigation Canal/Scheme Damaged | AS PER INFORMATION RECEIVED FROM ASST. BDO RANGJULI TD BLOCK, A PART OF EARTHEN LEVEE GET BREACHED BY KARANI RIVER ON 15/06/2022. INFORMATION RECEIVED ON : 15/06/2022. AS PER ASST. BDO RANGJULI TD BLOCK THE SCHEME IS UNDER MGNREGA. LATITUDE: 26.039823° LONG: 90.952412°",15-06-2022,0,{'Dudhnoi ': 3},,,,,
Goalpara,"Rongjuli - Irrigation Canal/Scheme Damaged | Rongronga FIS 5 meter (apprx) canal damaged under Dudhnoi East Division Irrigation damaged as on 18/05/2022. GPS Cordinates Latitude: 25.971379 Longitude: 90.866769, Matia - Road Breaches | The approach road of Irrigation Department connecting Muskuri Islampur with Dohela has been breached by overflowing water of Dudhnoi River. Total beach length = 40 meter (approx.) as on 18/05/2022. GPS Coordinates - 26.072092, 90.758726, Irrigation Canal/Scheme Damaged | Islampur Point Matia LIS staging has been damaged by increasing water level of Dudhnoi river as on 18/05/2022. GPS Coordinates - 26.066602, 90.768608",18-05-2022,0,{'Matia ': 2},,,,,
Goalpara,"Balijana - Power Dept. Transformers | As per information received from Sub Divisional Engineer, Lakhipur Electrical Sun- Division, APDCL, Lakhipur 2 nos. transformer 25kVA & 1 no. of transformer of 63kVA was damaged due to flood in village Rakhapara ,Deuli. & Karuabhasha. Date of occurence- 16.06.2022. Information received on 28.06.2022., Power Dept. Conductors | As per information received from Sub Divisional Engineer, Lakhipur Electrical Sun- Division, APDCL, Lakhipur LT Conductors of 0.3Km in Simulkandi, 0.6 Km in Chakla, 0.2 Km in Tisimkali & 0.5 Km in Baida got damaged due to flood. Date of occurrence- 16.06.2022. Information received on 28.06.2022.",29-06-2022,0,{'Balijana ': 4},,,,,
Goalpara,"Lakhipur - Power Dept. Conductors | As per report of APDCL Lakhipur ESD, LT conductor 0.2 KM at Haldibari, 0.3 KM at Fesarjhar 0.5 KM at Kurung has been damaged on 06.06.2022 and information received on 07.06.2022, Power Dept. Poles | As per report of APDCL Lakhipur ESD, 2 nos HT Pole at Haldibari, 6 nos LT Pole at Fesarjhar and 2 nos HT Pole at Kurung has been damaged on 06.06.2022 and information received on 07.06.2022, Power Dept. Transformers | As per report of APDCL Lakhipur ESD, DTR 1×16KVA at Chataimari and DTR 1×100KVA at Chataimari Cow Market has been damaged on 06.06.2022 and information received on 07.06.2022, Balijana - Power Dept. Poles | 3 nos. of LT Poles damaged in village Silsak Damal, Date of occurrence- 06.06.2022, information received from APDCL Department Lakhipur Electrical Sun- Division, Goalpara., Power Dept. Conductors | 0.5 KM conductor damaged in village Silsak Damal, Date of occurrence- 06.06.2022, information received from APDCL Department Lakhipur Electrical Sun- Division, Goalpara.",09-06-2022,0,"{'Lakhipur ': 6, 'Balijana ': 2}",,,,,
Goalpara,"Lakhipur - Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Ghagua FIS, Main canal MC1 (LHS),Damage length 230.0 Metre in scattered chainages between Ch. 30.0 M to Ch. 1950.0 M . Reported by the department on 27.06.2022., Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Ghagua FIS, Main canal MC2 (RHS),Damage length 190.0 Metre in scattered chainages between Ch. 60.0 M to Ch. 1600.0 M. Reported by the department on 27.06.2022., Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Silkapara LIS, Main canal MC1 (LHS),Damage length of canal bed 300.0 Metre in scattered chainages between Ch. 200.0 M to Ch. 1000.0 M. Reported by the department on 27.06.2022., Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Silkapara LIS, Main canal MC2 (RHS),Damage length of canal bed 185.0 Metre in scattered chainages between Ch. 200.0 M to Ch. 900.0 M. Reported by the department on 27.06.2022., Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Jinjiram LIS, Approach Road, Damage length 30.0 Metre between Ch. 40.0 M to Ch. 70.0 M. Reported by the department on 27.06.2022.",27-06-2022,0,{'Lakhipur ': 10},,,,,
